verbatim_name,canonical_name,resolved_taxon_id,accepted_canonical_name,source,confidence,gbif_match_type,notes
Diadasia nitidifrons,diadasia nitidifrons,361447,diadasia nitidifrons,exact,1.0,,
Dianthidium parvum,dianthidium parvum,308856,dianthidium parvum,exact,1.0,,
"Dianthidium plenum Timberlake, 1943",dianthidium plenum,459059,dianthidium plenum,exact,1.0,,
Dianthidium subparvum,dianthidium subparvum,271475,dianthidium subparvum,exact,1.0,,
"Dianthidium subparvum Swenk, 1914",dianthidium subparvum,271475,dianthidium subparvum,exact,1.0,,
Dioxys pacificus,dioxys pacificus,307423,dioxys pacificus,exact,1.0,,
"Dioxys pomonae Cockerell, 1910",dioxys pomonae,270651,dioxys pomonae,exact,1.0,,
Dufourea campanulae,dufourea campanulae,1037841,dufourea campanulae,exact,1.0,,
"Epeolus novomexicanus Cockerell, 1912",epeolus novomexicanus,924639,epeolus novomexicanus,exact,1.0,,
Epimelissodes obliqua expurgata,epimelissodes obliqua,1630911,epimelissodes obliqua,exact,1.0,,
"Epimelissodes obliqua expurgata (Cockerell, 1925)",epimelissodes obliqua,1630911,epimelissodes obliqua,exact,1.0,,
Eucera  edwardsii,eucera edwardsii,309407,eucera edwardsii,exact,1.0,,
Eucera actuosa,eucera actuosa,345432,eucera actuosa,exact,1.0,,
"Eucera actuosa (Cresson, 1879)",eucera actuosa,345432,eucera actuosa,exact,1.0,,
Eucera amsinckiae,eucera amsinckiae,271788,eucera amsinckiae,exact,1.0,,
"Eucera angustifrons (Timberlake, 1969)",eucera angustifrons,309406,eucera angustifrons,exact,1.0,,
Eucera delphinii,eucera delphinii,361450,eucera delphinii,exact,1.0,,
Eucera douglasiana,eucera douglasiana,459073,eucera douglasiana,exact,1.0,,
Eucera edwardsii,eucera edwardsii,309407,eucera edwardsii,exact,1.0,,
"Eucera edwardsii (Cresson, 1879)",eucera edwardsii,309407,eucera edwardsii,exact,1.0,,
Eucera frater,eucera frater,453648,eucera frater,exact,1.0,,
"Eucera frater (Cresson, 1879)",eucera frater,453648,eucera frater,exact,1.0,,
Eucera frater frater,eucera frater,453648,eucera frater,exact,1.0,,
"Eucera frater lata (Provancher, 1888)",eucera frater,453648,eucera frater,exact,1.0,,
Eucera fulvitarsis,eucera fulvitarsis,453649,eucera fulvitarsis,exact,1.0,,
"Eucera fulvitarsis (Cresson, 1879)",eucera fulvitarsis,453649,eucera fulvitarsis,exact,1.0,,
Eucera fulvitarsis fulvitarsis,eucera fulvitarsis,453649,eucera fulvitarsis,exact,1.0,,
"Eucera speciosa (Cresson, 1879)",eucera speciosa,459078,eucera speciosa,exact,1.0,,
"Habropoda cineraria (Smith, 1879)",habropoda cineraria,458980,habropoda cineraria,exact,1.0,,
"Habropoda cressonii (Dalla Torre, 1896)",habropoda cressonii,1339178,habropoda cressonii,exact,1.0,,
Habropoda morrisoni,habropoda morrisoni,1339177,habropoda morrisoni,exact,1.0,,
"Habropoda morrisoni (Cresson, 1879)",habropoda morrisoni,1339177,habropoda morrisoni,exact,1.0,,
"Halictus ligatus Say, 1837",halictus ligatus,154298,halictus ligatus,exact,1.0,,
"Halictus rubicundus (Christ, 1791)",halictus rubicundus,127747,halictus rubicundus,exact,1.0,,
Halictus tripartitus,halictus tripartitus,309390,halictus tripartitus,exact,1.0,,
"Halictus tripartitus Cockerell, 1895",halictus tripartitus,309390,halictus tripartitus,exact,1.0,,
"Heriades carinata Cresson, 1864",heriades carinata,203204,heriades carinata,exact,1.0,,
"Heriades cressoni Michener, 1938",heriades cressoni,459047,heriades cressoni,exact,1.0,,
Heriades variolosa,heriades variolosa,309157,heriades variolosa,exact,1.0,,
Hoplitis albifrons,hoplitis albifrons,199150,hoplitis albifrons,exact,1.0,,
