"canonical_name","host_plant_family","host_plant_detail","host_states","fowler_status"
"conanthalictus cockerelli","Boraginaceae","Boraginaceae : Hydrophlloideae: Nama L. , Phacelia Juss.","AZ-CA-NV","Rare"
"conanthalictus conanthi","","Nama L.","AZ-NM","Rare"
"conanthalictus deserticola","","Nama L.","AZ-CA","Rare"
"conanthalictus macrops","","Nemophila Nutt. , Phacelia Juss.","CA","Rare"
"conanthalictus mentzeliae","","Mentzelia L.","CA-NV","Rare"
"conanthalictus minor","Boraginaceae","Boraginaceae : Hydrophlloideae: Nama L. , Phacelia Juss.","AZ-CA-NV-UT","Rare"
"conanthalictus namatophilus","Boraginaceae","Boraginaceae : Hydrophlloideae: Nama L. , Phacelia Juss.","CA","Rare"
"conanthalictus nigricans","","Phacelia Juss.","CA","Rare"
"conanthalictus seminiger","","Emmenanthe Benth.","CA","Rare"
"conanthalictus wilmattae","","Phacelia Juss.","CA","Rare"
"diadasia afflicta","Malvaceae","Malvaceae : Callirhoe Nutt.","NM","Rare"
"diadasia afflictula","Malvaceae","Malvaceae : Malvella Jaubert & Spach , Sida L.","AZ-NM","Rare"
"diadasia angusticeps","","Clarkia Pursh","CA","Rare"
"diadasia australis","Cactaceae","Cactaceae : Cylindropuntia (Engelm.) Kreuzinger , Echinocactus Link & Otto , Ferocactus Britton & Rose , Opuntia Mill.","AZ-CA-CO-ID-MT-NM-NV-UT-WY","Common-Uncommon"
"diadasia bituberculata","","Calystegia R. Br. , Convolvulus L.","CA-NV-OR","Uncommon-Rare"
"diadasia consociata","Malvaceae","Malvaceae : Gossypium L. , Sphaeralcea A. St.-Hil.","AZ-CA-NV-OR-UT-WY","Uncommon-Rare"
"diadasia diminuta","Malvaceae","Malvaceae : Sidalcea A. Gray , Sphaeralcea A. St.-Hil.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common"
"diadasia enavata","Asteraceae","Asteraceae : Helianthus L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common"
"diadasia laticauda","Malvaceae","Malvaceae : Malacothamnus Greene , Sphaeralcea A. St.-Hil.","CA","Uncommon-Rare"
"diadasia lutzi","Malvaceae","Malvaceae : Eremalche Greene , Sphaeralcea A. St.-Hil.","AZ-CA-CO-ID-NM-NV-OR-UT-WY","Common-Uncommon"
"diadasia martialis","","Sphaeralcea A. St.-Hil.","AZ-CA-NV-UT","Uncommon"
"diadasia megamorpha","","Sphaeralcea A. St.-Hil.","AZ-NM","Rare"
"diadasia nigrifrons","Malvaceae","Malvaceae : Sidalcea A. Gray","CA-CO-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"diadasia nitidifrons","Malvaceae","Malvaceae : Iliamna Greene , Sidalcea A. Gray , Sphaeralcea A. St.-Hil.","CA-ID-OR-UT-WA","Rare"
"diadasia ochracea","Malvaceae","Malvaceae : Malacothamnus Greene , Malvella Jaubert & Spach , Sphaeralcea A. St.-Hil.","AZ-CA-CO-NM-NV-UT","Common"
"diadasia opuntiae","","Opuntia Mill.","AZ-CA","Rare"
"diadasia palmarum","","Sphaeralcea A. St.-Hil.","AZ-CA-NV","Rare"
"diadasia piercei","","Opuntia Mill.","AZ","Rare"
"diadasia rinconis","Cactaceae","Cactaceae : Cylindropuntia (Engelm.) Kreuzinger , Echinocactus Link & Otto , Ferocactus Britton & Rose , Opuntia Mill.","AZ-CA-CO-MT-NM-NV-UT","Common-Uncommon"
"diadasia sphaeralcearum","","Sphaeralcea A. St.-Hil.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"diadasia tuberculifrons","","Sphaeralcea A. St.-Hil.","AZ-CA-NV-NM","Rare"
"diadasia vallicola","","Sphaeralcea A. St.-Hil.","AZ-CA-NV-NM-UT","Uncommon-Rare"
"dianthidium cressonii","Asteraceae","Asteraceae : Cirsium Mill. , Ericameria Nutt. , Grindelia Willd. , Senecio L.","AZ-CO-ID-NM-NV-UT-WY","Uncommon-Rare"
"dianthidium curvatum","Asteraceae","Asteraceae : Coreopsis L. , Grindelia Willd. , Helenium L. , Helianthus L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"dianthidium parvum","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Chrysothamnus Nutt. , Cirsium Mill. , Corethrogyne DC. , Encelia Adans. , Erigeron L. , Gaillardia Foug. , Geraea Torr. & A. Gray , Grindelia Willd. , Gutierrezia Lag. , Heterotheca Cass. , Lessingia Cham. , Machaeranthera Nees , Stephanomeria Nutt.","AZ-CA-CO-ID-NM-NV-UT-WY","Uncommon-Rare"
"dianthidium platyurum","Asteraceae","Asteraceae : Bebbia (Benth.) Greene , Erigeron L. , Gutierrezia Lag. , Heterotheca Cass. , Lessingia Cham. , Malacothrix DC. , Pectis L. , Senecio L. , Stephanomeria Nutt.","AZ-CA-CO-NM-NV-UT","Rare"
