"canonical_name","host_plant_family","host_plant_detail","host_states","fowler_status"
"perdita punctulata","","Larrea Cav.","AZ-CA-NV","Uncommon"
"perdita pyrifera","Fabaceae","Fabaceae : Lotus L.","CA","Rare"
"perdita rectangulata","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag. , Solidago L.","AZ-CO-ID-NM-UT-WY","Uncommon-Rare"
"perdita repens","","Ericameria Nutt.","CA","Rare"
"perdita reperta","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt.","AZ-CO-NM","Rare"
"perdita retusa","","Ericameria Nutt.","AZ-CA-NM","Rare"
"perdita rhodogastra","","Tiquilia Pers.","AZ-CA-NV","Rare"
"perdita rhodura","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag. , Viguiera Kunth","AZ-CO-NM-UT-WY","Uncommon-Rare"
"perdita rhondae","","Camissonia Link","CA","Rare"
"perdita rivalis","Asteraceae","Asteraceae : Erigeron L. , Machaeranthera Nees , Solidago L.","CA-NV","Rare"
"perdita robustula","Papaveraceae","Papaveraceae : Arctomecon Torr. & Frém. , Argemone L. , Eschscholzia Cham.","CA-NV","Rare"
"perdita salicis","","Salix L.","AZ-CA-CO-ID-NM-NV-OR-UT-WA","Uncommon-Rare"
"perdita salviae","","Salvia L.","CA","Rare"
"perdita scitula","Asteraceae","Asteraceae : Ericameria Nutt. , Gutierrezia Lag. , Heterotheca Cass. , Lessingia Cham.","AZ-CA-NM","Rare"
"perdita scotti","","Ericameria Nutt.","CA","Rare"
"perdita scutellaris","","Tiquilia Pers.","CA","Rare"
"perdita semicaerulea","","Larrea Cav.","AZ-CA-NM-NV","Uncommon"
"perdita semicrocea","Asteraceae","Asteraceae : Gutierrezia Lag. , Solidago L.","AZ-NM","Rare"
"perdita semilutea","","Eriogonum Michx.","CA","Rare"
"perdita sexfasciata","","Tiquilia Pers.","AZ-CA-NV","Rare"
"perdita similis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Grindelia Willd. , Gutierrezia Lag. , Isocoma Nutt. , Tetradymia DC.","AZ-CA-CO-ID-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"perdita snellingi","Asteraceae","Asteraceae : Ericameria Nutt. , Gutierrezia Lag. , Solidago L.","CA","Rare"
"perdita snowii","Asteraceae","Asteraceae : Gutierrezia Lag.","AZ-CO-UT","Rare"
"perdita sonorensis","","Prosopis L.","AZ-CA-NV","Uncommon-Rare"
"perdita sphaeralceae","","Sphaeralcea A. St.-Hil.","AZ-NM-UT","Uncommon"
"perdita stathamae","Fabaceae","Fabaceae : Prosopis L. , Vachellia Wight & Arn.","AZ-CA-NM-NV","Uncommon-Rare"
"perdita stephanomeriae","","Stephanomeria Nutt.","CA-NV","Rare"
"perdita stottleri","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Grindelia Willd. , Gutierrezia Lag. , Heterotheca Cass.","AZ-CA-CO-ID-NM-NV-OR-UT-WY","Uncommon-Rare"
"perdita subfasciata","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag.","AZ-CA-NM-NV-OR-UT","Uncommon-Rare"
"perdita subvestita","Asteraceae","Asteraceae : Ericameria Nutt. , Gutierrezia Lag. , Xanthisma DC.","AZ-NM-UT","Rare"
"perdita swenki","Asteraceae","Asteraceae : Grindelia Willd. , Helianthus L. , Heterotheca Cass. , Solidago L.","CO-MT","Rare"
"perdita swezeyi","Asteraceae","Asteraceae : Erigeron L.","CA-NV-UT","Rare"
"perdita sycorax","","Tiquilia Pers.","UT","Rare"
"perdita taeniata","","Ericameria Nutt.","NM","Rare"
"perdita thelypodii","","Cleome L.","CA-NV","Rare"
"perdita thermophila","","Eriogonum Michx.","AZ-CA-NV-UT","Uncommon-Rare"
"perdita timberlakei","","Eriogonum Michx.","CA","Uncommon-Rare"
"perdita titania","","Tiquilia Pers.","CA","Rare"
"perdita tortifoliae","","Lepidium L.","AZ-CA-CO-NM-NV-UT","Uncommon-Rare"
"perdita townsendi","Asteraceae","Asteraceae : Ericameria Nutt. , Gutierrezia Lag.","AZ-NM","Rare"
"perdita translineata","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Heterotheca Cass.","NM","Rare"
"perdita triangulifera","Fabaceae","Fabaceae : Parkinsonia L. , Prosopis L. , Vachellia Wight & Arn.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"perdita tridentata","","Helianthus L.","CO-NM","Rare"
"perdita trifasciata","","Tiquilia Pers.","NM","Rare"
"perdita trifida","","Isocoma Nutt.","CA","Rare"
"perdita trimaculata","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag.","AZ-CA-NV","Rare"
"perdita trinotata","","Lesquerella S. Watson","NM","Rare"
"perdita trisignata","Fabaceae","Fabaceae : Lotus L.","CA","Uncommon-Rare"
"perdita tularensis","","Calochortus Pursh","CA","Rare"
"perdita utahensis","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Geraea Torr. & A. Gray , Helianthus L. , Pectis L. , Verbesina L.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"perdita ute","","Argemone L.","UT","Rare"
"perdita vandykei","","Malacothrix DC.","CA","Rare"
"perdita variegata","","Monarda L.","ID","Rare"
"perdita varleyi","","Eriogonum Michx.","CA","Rare"
"perdita verbesinae","Asteraceae","Asteraceae : Baccharis L. , Baileya Harv. & A. Gray ex A. Gray , Chrysothamnus Nutt. , Geraea Torr. & A. Gray , Gutierrezia Lag. , Helianthus L. , Heliopsis Pers. , Heterotheca Cass. , Verbesina L. , Viguiera Kunth","AZ-CA-NM-UT","Uncommon-Rare"
"perdita vesca","","Tiquilia Pers.","CA-NV-OR-UT","Rare"
"perdita vespertina","","Camissonia Link","NV","Rare"
"perdita vittata","Capparaceae","Capparaceae : Cleome L. , Cleomella DC. , Oxystylis Torr. & Frém. , Wislizenia Engelm.","CA-NV","Rare"
"perdita wasbaueri","","Tiquilia Pers.","CA","Rare"
"perdita wilmattae","Capparaceae","Capparaceae : Cleome L. , Cleomella DC. , Oxystylis Torr. & Frém. , Wislizenia Engelm.","AZ-CA-CO-NM-NV-WY","Uncommon"
"perdita wislizeniae","Capparaceae","Capparaceae : Cleome L. , Cleomella DC. , Oxystylis Torr. & Frém. , Wislizenia Engelm.","AZ-NM","Rare"
"perdita wootonae","","Mentzelia L.","CO-NM-WY","Rare"
"perdita xanthismae","Asteraceae","Asteraceae : Xanthisma DC.","AZ-NM-WY","Rare"
"perdita xanthochroa","","Sphaeralcea A. St.-Hil.","CO-ID-NM-UT","Rare"
"perdita xanthodes","Asteraceae","Asteraceae : Ericameria Nutt.","CA-UT","Rare"
"perdita xerophila","","Eriogonum Michx.","AZ-CA-NV-UT","Uncommon-Rare"
"perdita yanegai","","Tiquilia Pers.","AZ-CA-NV","Rare"
"perdita yosemitensis","","Eriogonum Michx.","CA","Uncommon-Rare"
"perdita zebrata","Capparaceae","Capparaceae : Cleome L. , Cleomella DC. , Oxystylis Torr. & Frém. , Wislizenia Engelm.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WY","Common"
"perdita zonalis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Eriogonum Michx. , Gutierrezia Lag. , Heterotheca Cass. , Isocoma Nutt. , Lepidospartum (A. Gray) A. Gray , Machaeranthera Nees , Solidago L. , Symphyotrichum Nees","CA-CO-ID-MT-NV-OR-UT-WY","Uncommon-Rare"
"protandrena abdominalis","","Monarda L.","NM","Rare"
"protandrena tidestromiae","","Tidestromia Standl.","AZ-NM","Rare"
"protandrena verbesinae","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Helianthus L. , Heterotheca Cass. , Machaeranthera Nees , Pectis L.","AZ-NM","Rare"
"protodufourea eickworti","","Phacelia Juss.","AZ-CA-NV","Rare"
"protodufourea koso","","Phacelia Juss.","CA-NV","Rare"
"protodufourea parca","","Phacelia Juss.","CA","Rare"
"protodufourea wasbaueri","","Emmenanthe Benth.","CA","Rare"
"protodufourea zavortinki","","Phacelia Juss.","CA","Rare"
"pseudopanurgus aestivalis","Asteraceae","Asteraceae : Erigeron L. , Grindelia Willd. , Solidago L.","CO","Rare"
"pseudopanurgus aethiops","Asteraceae","Asteraceae : Helianthus L. , Heterotheca Cass. , Verbesina L. , Viguiera Kunth","AZ-CO-ID-NM-UT-WY","Uncommon-Rare"
"pseudopanurgus albitarsis","Asteraceae","Asteraceae : Baccharis L. , Coreopsis L. , Echinacea Moench , Helianthus L. , Ratibida Raf. , Rudbeckia L.","AZ-CO-NM-UT","Rare"
"pseudopanurgus atricornis","Asteraceae","Asteraceae : Erigeron L.","AZ-CO-NM","Rare"
"pseudopanurgus barberi","Asteraceae","Asteraceae : Verbesina L. , Viguiera Kunth","AZ-NM","Rare"
"pseudopanurgus boylei","Asteraceae","Asteraceae : Verbesina L.","AZ-CO-NM-UT","Rare"
"pseudopanurgus citripes","Asteraceae","Asteraceae : Heterotheca Cass.","CO-NM","Rare"
"pseudopanurgus dicksoni","Asteraceae","Asteraceae : Pectis L.","AZ-CA-NM","Rare"
"pseudopanurgus didirupa","Asteraceae","Asteraceae : Erigeron L.","CO-ID-MT-NM-UT-WY","Rare"
"pseudopanurgus fraterculus","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Gutierrezia Lag. , Haplopappus Cass. , Heliopsis Pers. , Heterotheca Cass. , Hymenothrix A. Gray , Machaeranthera Nees , Melampodium L. , Verbesina L.","AZ-CA-CO-NM","Uncommon-Rare"
"pseudopanurgus helianthi","Asteraceae","Asteraceae : Helianthus L.","AZ-NM","Rare"
"pseudopanurgus illustris","Asteraceae","Asteraceae : Verbesina L.","AZ","Rare"
"pseudopanurgus innuptus","Asteraceae","Asteraceae : Helianthus L.","AZ-CO-ID-MT-NM-NV-UT-WY","Rare"
"pseudopanurgus irregularis","","Grindelia Willd.","CA-CO-ID-MT-NV-OR-UT-WY","Rare"
"pseudopanurgus leucopterus","Asteraceae","Asteraceae : Helianthus L.","CO-NM","Rare"
"pseudopanurgus nanulus","","Euphorbia L.","AZ-NM","Rare"
"pseudopanurgus occiduus","Asteraceae","Asteraceae : Heterotheca Cass.","AZ-NM","Rare"
"pseudopanurgus pectidellus","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Verbesina L.","AZ-NM","Rare"
"pseudopanurgus pectiphilus","Asteraceae","Asteraceae : Pectis L. , Verbesina L.","AZ-CA-NM-NV","Rare"
"pseudopanurgus perarmatus","Asteraceae","Asteraceae : Verbesina L.","AZ","Rare"
"pseudopanurgus perpunctatus","Asteraceae","Asteraceae : Heterotheca Cass.","AZ-NM","Rare"
"pseudopanurgus piercei","Asteraceae","Asteraceae : Grindelia Willd. , Helianthus L. , Solidago L.","CO-NM","Rare"
"pseudopanurgus porterae","Asteraceae","Asteraceae : Helianthus L.","AZ-CA-CO-NM","Rare"
"pseudopanurgus renimaculatus","Asteraceae","Asteraceae : Baccharis L. , Boltonia L'Hér. , Grindelia Willd. , Helianthus L. , Symphyotrichum Nees","AZ-CO-ID-NM-UT-WY","Rare"
"pseudopanurgus rugosus","Asteraceae","Asteraceae : Bidens L. , Helianthus L. , Heliopsis Pers. , Rudbeckia L. , Silphium L.","CO","Rare"
"pseudopanurgus verticalis","Asteraceae","Asteraceae : Pectis L. , Verbesina L.","AZ-CA-NM","Rare"
"ptilothrix chiricahua","","Kallstroemia Scop.","AZ-NM","Uncommon-Rare"
"sphecodosoma beameri","","Nama L.","AZ","Rare"
"sphecodosoma dicksoni","","Nama L.","AZ-CA-NM","Rare"
"svastra compta","","Oenothera L.","AZ-CO-NM-UT","Rare"
"svastra duplocincta","","Ferocactus Britton & Rose","AZ-CA-NM","Rare"
"svastra helianthelli","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Helianthus L. , Vanclevea Greene","AZ-CA-NM-NV-UT","Rare"
"svastra machaerantherae","Asteraceae","Asteraceae : Baccharis L. , Ericameria Nutt. , Helianthus L. , Heterotheca Cass. , Verbesina L.","AZ-CA-NM-NV-UT","Rare"
"svastra obliqua","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Cirsium Mill. , Grindelia Willd. , Helianthus L. , Rudbeckia L. , Vanclevea Greene , Vernonia Schreb.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"svastra petulca","Asteraceae","Asteraceae : Coreopsis L. , Helenium L. , Helianthus L. , Pyrrhopappus DC. , Ratibida Raf. , Rudbeckia L. , Verbesina L.","AZ-CO-ID-NM","Uncommon-Rare"
"svastra sabinensis","Asteraceae","Asteraceae : Baccharis L. , Baileya Harv. & A. Gray ex A. Gray , Bebbia (Benth.) Greene , Encelia Adans. , Gaillardia Foug. , Haplopappus Cass. , Helianthus L. , Hemizonia DC. , Heterotheca Cass. , Hymenothrix A. Gray , Isocoma Nutt.","AZ-CA-CO-NM","Uncommon"
"svastra sila","","Psilostrophe DC.","AZ-CA-NM","Rare"
"svastra texana","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Verbesina L.","AZ-CA-CO-NM","Rare"
"syntrichalonia exquisita","Asteraceae","Asteraceae : Helianthus L. , Rudbeckia L. , Verbesina L. , Viguiera Kunth","AZ-NM","Uncommon-Rare"
"tetraloniella albata","","Dalea L.","AZ-CO-MT-NM","Rare"
"tetraloniella lippiae","","Sphaeralcea A. St.-Hil.","AZ-NM","Rare"
"tetraloniella spissa","Asteraceae","Asteraceae : Helianthus L.","CO-NM","Rare"
"trachusa bequaerti","","Dalea L.","CA-WY","Uncommon-Rare"
"trachusa larreae","","Larrea Cav.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"trachusa zebrata","Asteraceae","Asteraceae : Encelia Adans. , Helianthus L.","AZ-CA-CO-NM-UT-WY","Rare"
"xenoglossa angustior","","Cucurbita L.","AZ-CA-NM","Rare"
"xenoglossa gabbii","","Cucurbita L.","AZ","Rare"
"xenoglossa kansensis","","Cucurbita L. , Ipomoea L.","CO-NM","Rare"
"xenoglossa mustelina","","Cucurbita L.","CA-NM","Rare"
"xenoglossa patricia","","Cucurbita L.","AZ-CA-NM","Rare"
"xenoglossa strenua","","Cucurbita L.","AZ-CA-CO-NM-NV-OR-UT","Uncommon"
"xeralictus bicuspidariae","","Mentzelia L.","AZ-CA-NV","Rare"
"xeralictus timberlakei","","Mentzelia L.","CA-NM","Rare"
